.threshold,specificity,sensitivity
0.001840261331761236,0.006875349357182784,0.9996084573218481
0.0018478307365976632,0.006931246506428172,0.9996084573218481
0.001848736060889102,0.006987143655673561,0.9996084573218481
0.0018499860076867764,0.007043040804918949,0.9996084573218481
0.0018528523227026711,0.007098937954164337,0.9996084573218481
0.0018702032914554366,0.007154835103409726,0.9996084573218481
0.0018710273386871147,0.007210732252655115,0.9996084573218481
0.0018776932300826714,0.0072666294019005035,0.9996084573218481
0.00188962796820401,0.007322526551145891,0.9996084573218481
0.0018904044211562763,0.00737842370039128,0.9996084573218481
0.00189452667751,0.007434320849636669,0.9996084573218481
0.0019007803917026058,0.007490217998882057,0.9996084573218481
0.0019175960924315487,0.007546115148127445,0.9996084573218481
0.001925153519356845,0.007602012297372834,0.9996084573218481
0.001928519470253445,0.0076579094466182225,0.9996084573218481
0.001947588370806893,0.007713806595863611,0.9996084573218481
0.0019485413955050294,0.007769703745109,0.9996084573218481
0.001950261100366824,0.007825600894354388,0.9996084573218481
0.0019517061451568177,0.007881498043599777,0.9996084573218481
0.0019610231480553437,0.007937395192845165,0.9996084573218481
0.0019676175770656844,0.007993292342090553,0.9996084573218481
0.0019698669342255765,0.008049189491335942,0.9996084573218481
0.0019837201420219146,0.00810508664058133,0.9996084573218481
0.0019875111439381877,0.008160983789826718,0.9996084573218481
0.001992286339309467,0.008216880939072108,0.9996084573218481
0.0020124716327112563,0.008272778088317495,0.9996084573218481
0.0020181116470980296,0.008328675237562885,0.9996084573218481
0.0020256493700971487,0.008384572386808273,0.9996084573218481
0.002038495682450582,0.00844046953605366,0.9996084573218481
0.002058134359029091,0.00849636668529905,0.9996084573218481
0.0020586778349794862,0.008552263834544438,0.9996084573218481
0.0020712998876784086,0.008608160983789827,0.9996084573218481
0.002071708361618488,0.008664058133035215,0.9996084573218481
0.0020730731944342408,0.008719955282280603,0.9996084573218481
0.002077705712305888,0.008775852431525993,0.9996084573218481
0.0020840438125240245,0.00883174958077138,0.9996084573218481
0.002087035338087996,0.008887646730016768,0.9996084573218481
0.002089743405438114,0.008943543879262158,0.9996084573218481
0.0020983516490065326,0.008999441028507546,0.9996084573218481
0.0020992676504126492,0.009055338177752935,0.9996084573218481
0.002107016501659099,0.009111235326998323,0.9996084573218481
0.0021075104905703074,0.00916713247624371,0.9996084573218481
0.0021160213062484056,0.0092230296254891,0.9996084573218481
0.002132080592414351,0.009278926774734488,0.9996084573218481
0.0021409033706190875,0.009334823923979878,0.9996084573218481
0.0021476834604235435,0.009390721073225266,0.9996084573218481
0.0021495343645964934,0.009446618222470653,0.9996084573218481
0.002150706244268163,0.009502515371716043,0.9996084573218481
0.002160005079059542,0.00955841252096143,0.9996084573218481
0.0021608713629117406,0.00961430967020682,0.9996084573218481
0.002161466584924546,0.009670206819452208,0.9996084573218481
0.002161518674229148,0.009726103968697596,0.9996084573218481
0.0021668001783201616,0.009782001117942985,0.9996084573218481
0.00217040233559671,0.009837898267188373,0.9996084573218481
0.002170937153266129,0.009893795416433761,0.9996084573218481
0.002173322024567478,0.00994969256567915,0.9996084573218481
0.002180049972922067,0.010005589714924538,0.9996084573218481
0.002183502801053489,0.010061486864169928,0.9996084573218481
0.0021846110197779496,0.010117384013415316,0.9996084573218481
0.0021863371207840264,0.010173281162660704,0.9996084573218481
0.0021898811032060274,0.010229178311906093,0.9996084573218481
0.0022031840787603246,0.010285075461151481,0.9996084573218481
0.0022053306269434266,0.01034097261039687,0.9996084573218481
0.0022145663530089847,0.010396869759642258,0.9996084573218481
0.002221482850232531,0.010452766908887646,0.9996084573218481
0.0022362889784904427,0.010508664058133036,0.9996084573218481
0.002241090466232746,0.010564561207378424,0.9996084573218481
0.0022480343146927466,0.010620458356623811,0.9996084573218481
0.0022549898852337745,0.010676355505869201,0.9996084573218481
0.002270529979237336,0.010732252655114589,0.9996084573218481
0.002276427792627676,0.010788149804359978,0.9996084573218481
0.0023030190994017936,0.010844046953605366,0.9996084573218481
0.0023230109877199197,0.010899944102850754,0.9996084573218481
0.0023312559242709336,0.010955841252096143,0.9996084573218481
0.0023497887796230703,0.011011738401341531,0.9996084573218481
0.002351853728054324,0.01106763555058692,0.9996084573218481
0.00235763660688095,0.011123532699832309,0.9996084573218481
0.0023597887151734823,0.011179429849077696,0.9996084573218481
0.0023688286481212254,0.011235326998323086,0.9996084573218481
0.0023694761230086303,0.011291224147568474,0.9996084573218481
0.0023700340819464583,0.011347121296813862,0.9996084573218481
0.002377750898692733,0.011403018446059251,0.9996084573218481
0.002380405783380091,0.011458915595304639,0.9996084573218481
0.002383740518236526,0.011514812744550029,0.9996084573218481
0.0023893624777778216,0.011570709893795416,0.9996084573218481
0.002400724789392866,0.011626607043040804,0.9996084573218481
0.0024021880514907227,0.011682504192286194,0.9996084573218481
0.002411705395579996,0.011738401341531582,0.9996084573218481
0.0024169547489695407,0.011794298490776971,0.9996084573218481
0.0024247511582210102,0.011850195640022359,0.9996084573218481
0.002433914111161734,0.011906092789267747,0.9996084573218481
0.0024508855431910333,0.011961989938513136,0.9996084573218481
0.0024574896711311188,0.012017887087758524,0.9996084573218481
0.0024596922703135162,0.012073784237003914,0.9996084573218481
0.0024661468424590155,0.012129681386249301,0.9996084573218481
0.0024698538301937767,0.01218557853549469,0.9996084573218481
0.0024784372990671643,0.012241475684740079,0.9996084573218481
0.0024869749011611087,0.012297372833985467,0.9996084573218481
0.0024976783222785443,0.012353269983230854,0.9996084573218481
