.threshold,specificity,sensitivity
0.0054547786712646484,0.002683063163778647,1
0.00546950101852417,0.002738960313024036,1
0.005495250225067139,0.002794857462269424,1
0.005521178245544434,0.002850754611514813,1
0.005526840686798096,0.002906651760760201,1
0.005556046962738037,0.0029625489100055897,1
0.005559027194976807,0.0030184460592509784,1
0.005651295185089111,0.0030743432084963667,1
0.00566864013671875,0.0031302403577417553,1
0.00567251443862915,0.0031861375069871436,1
0.005679011344909668,0.0032420346562325323,1
0.005684792995452881,0.0032979318054779205,1
0.005694687366485596,0.003353828954723309,1
0.00569528341293335,0.0034097261039686974,1
0.005711972713470459,0.003465623253214086,1
0.005723178386688232,0.0035215204024594744,1
0.005745947360992432,0.003577417551704863,1
0.005756080150604248,0.0036333147009502517,1
0.005758762359619141,0.00368921185019564,1
0.005827844142913818,0.0037451089994410287,1
0.005831480026245117,0.003801006148686417,1
0.0058457255363464355,0.0038569032979318056,1
0.005888044834136963,0.003912800447177194,1
0.005935728549957275,0.0039686975964225825,1
0.005962014198303223,0.004024594745667971,1
0.006005823612213135,0.004080491894913359,1
0.00600820779800415,0.004136389044158748,1
0.006016671657562256,0.004192286193404136,1
0.0060204267501831055,0.004248183342649525,1
0.006032586097717285,0.004304080491894914,1
0.006034791469573975,0.0043599776411403016,1
0.006058335304260254,0.00441587479038569,1
0.006092846393585205,0.004471771939631079,1
0.006121218204498291,0.004527669088876468,1
0.006148576736450195,0.004583566238121855,1
0.006148934364318848,0.004639463387367244,1
0.006196260452270508,0.004695360536612633,1
0.006200015544891357,0.0047512576858580215,1
0.006203651428222656,0.00480715483510341,1
0.006210625171661377,0.004863051984348798,1
0.006217062473297119,0.004918949133594187,1
0.006223559379577637,0.004974846282839575,1
0.006237208843231201,0.005030743432084964,1
0.006241440773010254,0.005086640581330352,1
0.006259500980377197,0.0051425377305757405,1
0.006277978420257568,0.005198434879821129,1
0.0062999725341796875,0.005254332029066518,1
0.006323516368865967,0.005310229178311906,1
0.006323873996734619,0.005366126327557294,1
0.006328940391540527,0.005422023476802683,1
0.006340205669403076,0.005477920626048072,1
0.00635683536529541,0.00553381777529346,1
0.006372690200805664,0.005589714924538848,1
0.0063735246658325195,0.005645612073784237,1
0.006381869316101074,0.005701509223029626,1
0.006416618824005127,0.005757406372275014,1
0.006418347358703613,0.005813303521520402,1
0.006420731544494629,0.005869200670765791,1
0.006463885307312012,0.0059250978200111794,1
0.0064778923988342285,0.005980994969256568,1
0.0064820051193237305,0.006036892118501957,1
0.00648730993270874,0.006092789267747345,1
0.006502032279968262,0.006148686416992733,1
0.006520390510559082,0.006204583566238122,1
0.006531894207000732,0.006260480715483511,1
0.006547093391418457,0.0063163778647288985,1
0.006555080413818359,0.006372275013974287,1
0.006567597389221191,0.006428172163219676,1
0.0065978169441223145,0.0064840693124650645,1
0.006597936153411865,0.006539966461710452,1
0.006601452827453613,0.006595863610955841,1
0.006620645523071289,0.00665176076020123,1
0.006622254848480225,0.006707657909446618,1
0.006632864475250244,0.006763555058692007,1
0.006662726402282715,0.006819452207937395,1
0.006670832633972168,0.006875349357182784,1
0.006683647632598877,0.006931246506428172,1
0.006709575653076172,0.006987143655673561,1
0.006720364093780518,0.007043040804918949,1
0.006723284721374512,0.007098937954164337,1
0.0067400336265563965,0.007154835103409726,1
0.006747305393218994,0.007210732252655115,1
0.006765186786651611,0.0072666294019005035,1
0.006773769855499268,0.007322526551145891,1
0.006775557994842529,0.00737842370039128,1
0.0067803263664245605,0.007434320849636669,1
0.00678861141204834,0.007490217998882057,1
0.0068010687828063965,0.007546115148127445,1
0.006806552410125732,0.007602012297372834,1
0.006826460361480713,0.0076579094466182225,1
0.0068318843841552734,0.007713806595863611,1
0.0068389177322387695,0.007769703745109,1
0.0068441033363342285,0.007825600894354388,1
0.006858170032501221,0.007881498043599777,1
0.006859242916107178,0.007937395192845165,1
0.00687098503112793,0.007993292342090553,1
0.006878674030303955,0.008049189491335942,1
0.006884872913360596,0.00810508664058133,1
0.006912887096405029,0.008160983789826718,1
0.0069310665130615234,0.008216880939072108,1
0.006942391395568848,0.008272778088317495,1
0.0069580078125,0.008328675237562885,1
0.006983757019042969,0.008384572386808273,1
0.006987154483795166,0.00844046953605366,1
0.006988346576690674,0.00849636668529905,1
0.0069983601570129395,0.008552263834544438,1
0.007007956504821777,0.008608160983789827,1
0.007017016410827637,0.008664058133035215,1
